show_id,type,title,duration
80220311,Movie,All the Devil's Men,100 min
80147920,TV Show,Robozuna,2 Seasons
70230147,Movie,Exit Strategy,79 min
81036542,Movie,Michelle Wolf: Joke Show,60 min
80209006,Movie,The Trader (Sovdagari),24 min
70281526,TV Show,The Fosters,5 Seasons
81031037,Movie,Oddbods: Party Monsters,23 min
80202258,TV Show,Northern Rescue,1 Season
81096151,Movie,Laatu,116 min
81151877,Movie,Game Over (Tamil Version),98 min
523650,Movie,Free Willy,112 min
80074152,TV Show,Sensitive Skin,1 Season
80124947,Movie,Gun Runners,90 min
70129415,Movie,HALO Legends,117 min
80168234,Movie,Fun Mom Dinner,82 min
70271773,TV Show,Turbo FAST,3 Seasons
80205440,TV Show,Fix It and Finish It,3 Seasons
80159025,Movie,Hypersomnia,84 min
80126646,TV Show,MeatEater,4 Seasons
80190844,Movie,AlphaGo,90 min
60020892,Movie,Exit Wounds,101 min
80187307,Movie,Tom Segura: Disgraceful,71 min
60011619,Movie,Dad,117 min
81036199,Movie,Still LAUGH-IN: The Stars Celebrate,61 min
70157402,TV Show,Highway to Heaven,5 Seasons
80180545,TV Show,Cinta Iris,1 Season
81013112,Movie,The Push,90 min
80992496,Movie,China Salesman,111 min
80214523,TV Show,Live,1 Season
80224233,Movie,Thong Dee Fun Khao,122 min
80994420,Movie,Sarvopari Palakkaran,133 min
80208273,Movie,Judah Friedlander: America Is the Greatest Country in the United States,84 min
80080768,Movie,The Blackcoat's Daughter,95 min
80244627,TV Show,Two Sentence Horror Stories,1 Season
80095411,TV Show,Gypsy,1 Season
70027133,Movie,Shabd,146 min
80017170,Movie,The Riot Club,107 min
81191228,Movie,Homeland,73 min
80997770,TV Show,The Vietnam War: A Film by Ken Burns and Lynn Novick,1 Season
80031377,TV Show,Young & Hungry,5 Seasons
80014996,Movie,The Physician,155 min
81047683,Movie,Agatha and the Truth of Murder,92 min
80154610,TV Show,The Rain,2 Seasons
60031236,Movie,Kill Bill: Vol. 1,111 min
80989338,Movie,I Am Vengeance,93 min
80216752,TV Show,Explained,2 Seasons
80191236,TV Show,Luis Miguel - The Series,1 Season
